id_staff,name
68755,Adam Bernardi
638,Michael Mann
1254,Art Linson
5581,Elliot Goldenthal
11099,Dante Spinotti
15840,Pasquale Buba
15841,William Goldenberg
15842,Dov Hoenig
1047,Tom Rolf
897,Bonnie Timmermann
11411,Neil Spisak
15843,Margie Stone McShirley
8527,Deborah Lynn Scott
1305,Bill Abbott
14765,Per Hallberg
15847,Terry D. Frazee
15848,Paul H. Haines Jr.
15849,Neil Krepela
13458,Joel Kramer
15850,Tony Brubaker
13677,Anne H. Ahrens
1535950,Darryl M. Athons
1478953,Cate Hardman
1424046,Jane Brody
1550830,Donald Frazee
1479277,Oscar Mazzola
4727,Dianne Wager
1404308,Anthony Lattanzio
1535949,David Le Vey
8870,Leonard Engelman
16551,Ilona Herman
15846,Vera Mitchell
15845,John Caglione Jr.
14653,Ken Diaz
1535951,Neal J. Anderson
1391385,Duncan Burns
1406826,Hector C. Gika
1392084,Larry Kemp
1392901,Lauren Stephens
1409831,Gary Jay
21118,James Muro
1412205,Frank Connor
1403479,Duane Manwiller
1347763,Chris Moseley
1415635,Frank Dorowsky
1406905,Michael Connell
75002,Budd Carr
60592,Matthew Booth
1433743,Vicki Hiatt
1405208,Thomas R. Bryant
1432026,Ray Boniker
1401687,Anna Behlmer
16177,Ron Bartlett
1368864,Chris Jenkins
1338976,Andy Nelson
1544638,Mark Smith
1576553,Daniel O'Haco
1457709,Mick Gould
1576562,Tim Werner
639,Pieter Jan Brugge
944682,Gusmano Cesaretti
376,Arnon Milchan
1494667,Christopher Cronyn
212137,Michael Waxman
1535952,Alison E. McBryde
1392142,Marsha Bozeman
548451,Jeff Wells
142157,Doug Coleman
1629423,Philip Rogers
15178,Jimmy Webb
2226,Sydney Pollack
70846,Barbara Benedek
491,John Williams
10640,Fredric Steinkamp
2997,Scott Rudin
5490,David Rubin
1718,Brian Morris
11056,David Rayfiel
10199,Peter Robb-King
142152,Bernadette Mazur
32489,Joseph A. Campayno
83118,Lynda Gurasich
1565199,Stephen G. Bishop
543194,Gary Jones
5493,Ann Roth
18173,George DeTitta Jr.
1467272,Amy Marshall
1535947,Miriam Schapiro
91092,Danny Michael
1387195,Adam Jenkins
1345595,Scott Millan
1404218,Myron Nettinga
1565200,Mitch Gettleman
1565201,Joe Earle
1392125,J. Paul Huntsman
91096,Andrew Schmetterling
95836,Adam Sawelson
1555703,Barbara Issak
1399061,Benjamin Beardwood
1464541,Mary A. Kelly
1391583,Myles Aronowitz
1194262,Brian Hamill
20844,Giovanni Fiore Coltellacci
15131,Giuseppe Rotunno
53346,Kate Dowd
957570,Juliet Polcsa
18513,Michelle Matland
1177713,Donna Maloney
1565207,Karl F. Steinkamp
11058,Lindsay Doran
4184,Ronald L. Schwary
17220,John Kasarda
1582414,Jean-Pierre Avice
1748870,Thomas A. Imperato
1853722,Bill Kaufman
1720,Ronna Kress
9028,Sandrine Ageorges
1123059,Joseph E. Iberti
1853729,Joanny Carpentier
1002581,Katherine Kennedy
2075,David Loughery
7775,Stephen Sommers
18357,Peter Hewitt
72225,Mark Twain
37710,Peter Hyams
53300,Karen Elise Baldwin
56953,Gene Quintano
56032,Moshe Diamant
56954,Anders P. Jensen
53299,Howard Baldwin
4500,John Debney
11410,Steven Kemper
10702,Martin Campbell
9856,Ian Fleming
10704,Jeffrey Caine
10705,Bruce Feirstein
10666,Barbara Broccoli
10493,Tom Pevsner
996,Eric Serra
1459,Tina Turner
10709,Phil Meheux
5056,Terry Rawlings
10496,Debbie McWilliams
8524,Peter Lamont
10710,Andrew Ackland-Snow
10711,Kathrin Brunner
10712,Charles Dwight Lee
8526,Michael Ford
10714,Lindy Hemming
69678,Michael G. Wilson
10706,Anthony Waye
10703,Michael France
1593072,Michael Boone
10788,Steven Lawrence
1727828,Tony Graysmark
1325211,Neil Lamont
18457,Pam Dixon
5062,Robert Hathaway
1532215,Charles Bodycomb
1398136,June Randall
40747,Harvey Harrison
1408816,Roger Pearce
1485317,Herbert Raditschnig
1189807,Tim Wooster
1425502,Keith Hamshere
1427545,George Whitear
1727833,Bill Pochetty
1727834,Luigi Bisioli
1727835,Steve Foster
1081073,Chris Corbould
1392704,Mara Bryan
1413507,Tim Grover
38362,Peter Musgrave
1340118,Michael A. Carter
1561880,Graham V. Hartstone
40818,John Hayward
9854,Jim Shields
1576017,David John
2702,John Seale
3026,Rob Reiner
3032,Robert Leighton
9251,Marc Shaiman
13520,Aaron Sorkin
4057,Adam Weiss
14639,Mel Brooks
53839,Hummie Mann
53840,Michael D. O'Shea
59979,Peter Schindler
67674,Rudy De Luca
71303,Steve Haberman
488,Steven Spielberg
489,Kathleen Kennedy
12061,Roger S.H. Schulman
21879,Simon Wells
106850,Elana Lesser
570268,Cliff Ruby
991160,David Steven Cohen
1205985,Stephan Franck
1447385,Jean-Francois Rey
1447593,Mick De Falco
1448089,José Antonio García Villameriel
1451229,Luc Desmarchelier
1457635,Leonard F.W. Green
1462665,Harald Kraut
1152,Oliver Stone
5379,Dan Halsted
17786,Stephen J. Rivele
149,Robert Richardson
3189,Brian Berdan
2044,Peter Levy
8383,Maggie Gray
391,Norman Garwood
3986,Mario Kassar
7228,Joel B. Michaels
6044,Mindy Marin
10685,Laurence Mark
14590,Enrico Sabbatini
16938,Renny Harlin
22706,James Gorman
21203,Michael Frost Beckner
20061,Marc Norman
1224549,Robert King
1368867,Allen Hall
1032,Martin Scorsese
7170,Barbara De Fina
3661,Thelma Schoonmaker
2242,Ellen Lewis
2366,Dante Ferretti
7163,Nicholas Pileggi
7531,Joseph P. Reidy
1614,Ang Lee
32982,Jane Austen
7056,Emma Thompson
9152,Patrick Doyle
7021,Michael Coulter
948439,Laurie Borg
3116,Combustible Edison
3117,Gary Frutkoff
3119,Lance Brown
3110,Allison Anders
3111,Alexandre Rockwell
2294,Robert Rodriguez
138,Quentin Tarantino
2545,Lawrence Bender
3118,Russell Gray
11423,Mayne Berke
9042,Sara Andrews
77162,Rodrigo García
3113,Guillermo Navarro
3114,Phil Parmet
3115,Andrzej Sekula
1041072,Margaret Goodspeed
3121,Elena Maganini
156,Sally Menke
1877413,David Gertz
37334,Paul Hellerman
37335,Scott Lambert
37333,Heidi Vogel
6940,Karyn Rachtman
62277,Susan L. Bertram
46589,Mary Claire Hannan
1556697,Marisol Jiménez
1395016,Brian Markey
1549015,Ray Maxwell
1877352,Marc Gillson
1851725,Carlos A. Chavez
1877353,T.D. Donnelly
148455,Ziad Doueiri
1708344,Rick Stribling
1877355,Elizabeth Bolden
56791,Jonathan Brown
1547239,Jacqueline Aronson
1877356,Thomas G. Marquez
1745153,Orlando
144146,Ermahn Ospina
1877357,Paul Starr
1851724,James C. Beeson
1877359,Sissy Boyd
1877360,Derek Hurd
1686379,Darrell Dubovsky
1877361,Ben Parker
1552012,Lynda Reiss
1877363,Nick Roberts
1877365,Patrice Carbaugh
1602889,Paul Taglianetti
1877369,Michael Boyce Harris
1877370,Dotti Thompson
1419160,P. Gerald Knight
64744,Debbie Hayn-Cass
1622121,Nancy Willen
71901,Douglas Aarniokoski
1120536,Fernando Altschul
1342669,Jayne-Ann Tenggren
1564233,Mike Stanwick
1877377,Bob Allen
64315,Erik C. Andersen
1601800,Edgar Arellano
1877378,Marcel DeJure
1877379,Chuck Smith
20540,Randi Hiller
1401374,Robert Earl Craft
1877380,Deborah Hebert
1402054,Dawn Todd Curfman
1695796,Paul Koronkiewicz
1357671,Tim Tuchrello
1415642,Denise Okimoto
1410954,Pawel Wdowczak
80824,Jay Nierenberg
1412227,Glenn Hoskinson
1438571,Bruce Fortune
1552088,Victor Iorillo
1877415,Jan D. Tys
100888,Chuck Jones
1412242,Thom 'Coach' Ehle
4489,Steve Oedekerk
29901,Jack Bernstein
4507,Gary Barber
57097,Bob Israel
57098,Andrew G. La Marca
4700,James G. Robinson
43393,Robert Folk
6490,Donald E. Thorin
14457,Malcolm Campbell
1007395,J.J. Makaro
52629,Joseph Ruben
20840,Doug Richardson
1059,Neil Canton
71423,Tracy Barone
1586,Adam Fields
3805,Jon Peters
71424,Frederick S. Pierce
23969,John Lindley
11454,George Bowers
1264,Bill Pankow
71130,Michael Dilbeck
1534236,Linda R. Chen
959360,Bill Groom
6410,Francine Maisler
15524,Ruth E. Carter
12258,Beth A. Rubino
9270,Sarah Knowles
13933,Dennis Bradford
9989,Mark Mancina
1534622,Corey B. Yugler
1537446,David Lee
1403515,Stan Bochner
51449,Timothy M. Bourne
1422054,Laini Thompson
1405321,Margot Boccia
1551340,Clifford Booker
1444909,Melissa A. Yonkey
6328,Jack Gill
38410,Michael Stone
1411272,Lawrence Karman
933949,Geary McLeod
1551342,Shannon Rayle Bourne
2986,Doug Claybourne
1476342,Michael E. Steele
1419089,Russ Kavanaugh
92377,Lee Dichter
1337464,Dominick Tavella
15527,Tony Martinez
1395690,Ira Spiegel
1551343,Paul P. Soucek
1341403,Richard King
1551345,Pam DeMetruis-Thomas
1341862,Mike Fenster
5174,Barry Sonnenfeld
2235,Elmore Leonard
518,Danny DeVito
5381,Michael Shamberg
5382,Stacey Sher
6394,John Lurie
9614,Donald Peterman
16466,Peter S. Larkin
2199,Scott Frank
11802,Betsy Heimann
495,Debra Zane
11412,Steve Arnold
6191,Leslie E. Rollins
1535452,Robby Green
1453174,Jim Ondrejko
1458759,Sabrina Rosen
1321004,David Rawley
1477790,Lori Stilson
1527434,Eliza Paley
1280314,Suzanne Pillsbury
1397881,Audrey Futterman-Stern
1536363,Ron Scott
1534237,Ellen Wong
1338146,Natalie Wood
18679,Mark Tarlov
15148,Jon Amiel
853,Alan Heim
8970,Jim Clark
18683,David Madsen
19155,Christopher Young
17815,Ann Biderman
8862,László Kovács
10570,Joseph M. Caracciolo Jr.
5328,Kerry Barden
3192,Billy Hopkins
4023,Suzanne Smith
1253,Jim Clay
60579,Chris Seagers
20570,Catherine Davis
1522068,Claudia Brown
1433649,H. Bud Otto
3104,Chris Newman
7187,Richard Donner
9339,Lilly Wachowski
9340,Lana Wachowski
12235,Vilmos Zsigmond
49286,Lawrence Jordan
3175,Richard Marks
3028,Bruce A. Evans
3029,Raynold Gideon
29525,Andrew Lazar
7200,Lauren Shuler Donner
1091,Joel Silver
22816,Jim Van Wyck
5398,Dino De Laurentiis
1376901,Marshall Winn
3806,Marion Dougherty
15327,Nathan Crowley
1330109,Leticia Stella
2486,Thomas E. Sanders
7849,Lisa Dean
5710,Elizabeth McBride
1322089,Cha Blevins
19291,Daniel T. Dorrance
1316296,Scott Eddo
1299201,Deborah K. Larsen
1401251,Charlene Johnson
233500,John M. Woodward
1401252,Wendy Skerritt
1401253,Erik L. Nelson
1401254,Chad Griffin
1360094,Noelle King
1401255,Alan Manzer
40594,Gilbert Wong
1401256,Steven Curtis Husch
1401257,Michael McCombe
4716,Virginia Cook-McGowan
1401258,Catherine Flynn
1392129,John F. Reynolds
1401259,Robert G. Henderson
1398194,Peggy McAffee
1376818,Kevin Bartnof
1401260,Catherine Rowe
1052,Rick Alexander
1341854,David E. Campbell
1341808,Kevin E. Carpenter
1399140,Les Fresholtz
1341138,Jeffrey J. Haboush
1342626,John T. Reitz
1341858,Gregg Rudloff
42034,Greg P. Russell
1401262,Dick Hancock
1386920,Andrew Cooper
1401263,Ray De La Motte
1401264,Neal Norton
1401265,Frank M. Holgate
1401266,Robin Buerki
1401267,Ian Jennings
1401268,David R. Kohn
1401269,Raul J. Marin
1401270,Eva Prappas
1401271,Sally Roberts
165734,Joy Ellison
1401272,Patricia Fay
1401273,Peter J. Silbermann
4723,Brian Helgeland
1718730,Rafael Pérez
1607177,Paloma Suau
56349,Victor Salva
4504,Roger Birnbaum
56188,Riley Kathryn Ellis
66723,Daniel Grodnik
73335,Robert Snukal
1760,Jerry Goldsmith
13140,Jerzy Zielinski
30606,Dennis M. Hill
6109,Stuart Reynolds 
6111,Mike Figgis
6113,Lila Cazès
6114,Marc S. Fischer
6115,Paige Simpson
6116,Annie Stewart
6117,Declan Quinn
6118,John Smith
6119,Carrie Frazier
1741885,John O'Brien
6210,William Shakespeare
56710,Oliver Parker
15798,Lesli Linka Glatter
57062,I. Marlene King
3416,Demi Moore
550,Jennifer Todd
551,Suzanne Todd
2120,Cliff Eidelman
6050,Ueli Steiger
33830,Jacqueline Cambas
7017,Roger Michell
13009,Alexandra Byrne
33443,Kate Evans
110587,John Daly
137933,Nick Dear
152204,Helen Caldwell
582705,Jan Pester
1073310,Jeremy Sams
1155250,William Dudley
1244637,Catherine Wearing
1420630,Kay Bilk
1492126,Fiona Finlay
1530177,Colin Gorry
1840475,Linda Ward
1840476,Joanna Casserly
1840477,Sally Collins
1840478,Jean Speak
1840479,Graham Bishop
1840481,Chris Capstick
1840482,Stephen Foote
1840483,Geraldine Stephenson
2419,Jean-Pierre Jeunet
13828,Félicie Dutertre
13829,María Victoria Hebrero
13830,José Luis Lopez
13831,Arlette Mas
2402,Claudie Ossard
13834,François Rabes
5628,Angelo Badalamenti
2240,Darius Khondji
2425,Hervé Schneid
2424,Pierre-Jacques Bénichou
13838,Jean Rabasse
13839,Aline Bonetto
8385,Jean Paul Gaultier
13840,Georges Mougine
13841,Denis Ozenne
13680,Marc Caro
13681,Gilles Adrien
607,Zhang Yimou
72204,Lü Yue
146103,Bi Feiyu
146104,Li Xiao
770,Jerry Bruckheimer
771,Don Simpson
5132,Bob Badami
9775,Marietta Carter-Narcisse
11695,Lucas Foster
12066,Sandra Rabins
13587,Nancy Patton
20209,Donald Graham Burt
21138,Kate Guinzburg
32487,Robert L. Stevenson
35140,Catherine Mann
59710,Bobbie Read
59790,Pierre Letarte
60295,John N. Smith
60296,LouAnne Johnson
34061,Wendy Melvoin
34060,Lisa Coleman
1338147,Bruce Di Valerio
1342644,June Samson
1421720,Darrell Pritchett
1440306,Gala Autumn
1473443,Michele Tedlis
1530166,Kathy Nelson
280,Terry Gilliam
7191,David Webb Peoples
281,Janet Peoples
282,Charles Roven
283,Robert Cavallo
284,Gary Levinsohn
285,Robert Kosberg
293,Roger Pratt
294,Mick Audsley
295,Imogen Pollard
297,Jay Meagher
1020074,Paul Buckmaster
945,Crispian Sallis
7848,Jeffrey Beecroft
8848,William Ladd Skinner
6347,Margery Simkin
8222,Julie Weiss
3973,Mark Egerton
286,Lloyd Phillips
58237,Kelley Smith-Wait
1430213,Christina Bartolucci
5333,Christine Beveridge
1446985,William A. Kohout
1458527,Allen Weisinger
1546147,Carl Catanese
1546148,Steven Lane Ewing
1546149,Glen Foster
12257,Tim Galvin
1546150,Rick Gamez
1546151,Wesley Goodwin
1377215,Doug Harlocker
6878,Kevin Ishioka
1546152,Lara Kelly
1546154,Mark Kendig
1395158,John D. Kretschmer
1546155,Robert LaPrell
1383160,Lê Hoàng
1546156,Ted Lubonovich II
1546157,Paul Maiello
1546158,Paul A. Minitello
1546159,Larry Misselhorn
1522774,Scott T. Pina
1546160,Gary Pugh
88454,Wayne Smith
1546161,Diane Greaves
1544372,Peter Joly
1457285,Randy Smith
1393300,Jack Stew
1337412,Jason Swanscott
1413938,Ted Swanscott
1235786,David Acord
1546166,Russell Hardee
1546167,James Healy
1546168,Russell Hurlburt
1546169,Paul Kocar
1546170,Thomas Lockey
1511730,Joseph P. Mercurio
1546171,Shirley Montefusco
1434159,Anthony Simonaitis
1546172,Beecher Tomlinson
1337414,Richard Bain
1325557,Martin Body
1546173,Steve Cutmore
1546174,Doug Forrest
10721,Kent Houston
1546175,Chris Panton
1546176,Susi Roper
1074163,G.A. Aguilar
134877,Sandy Alexander
91834,Bill Anagnos
1407881,John Copeman
1546177,Paul Couch
155535,Douglas Crosby
1546178,E.J. Evans
999690,Terry Jackson
1407225,Ronald O. Jaynes
933507,Chuck Jeffreys
1546179,David S. Lomax
556798,Steve Martin
1546180,Elliot Santiago
1507943,Steve Santosusso
1434599,Brian Smyj
1546181,Rhett Bloomquist
18095,Phillip V. Caruso
1546182,David Cecil
1531991,Andrew Reed Conner
1546183,Bill Fiedler
1546184,Mike Finnegan
1546185,Vinnie Gerardo
1546186,Thomas Greco
957361,Craig Haagensen
549995,William Jones
1463532,Ian Kelly
1546187,Craig Ligget
27709,Matt Miller
1157630,Peter Norman
91115,Kyle Rudolph
1546188,Keith Salkowski
1546189,Lee Shapira
1546190,Blackford 'Boots' Shelton
1546191,Brian Snell
1546192,Mikie Heilbrun
1424540,Eric H. Sandberg
1324812,B.J. Rogers
1065081,Lucy Darwin
1546193,Dan Gane
553163,Pamela Susan Hall
1546194,Brian Ufberg
1546205,Eddie Wilder
544194,Glynn Williams
1546213,Marilyn Bailey
1546216,Ted Criswell
1540477,Dennis Davidson
1546217,Marc Diener
1477266,Scott Elias
1546219,Carole French
1546220,Reva Grantham
1546221,Warren Holcomb
1546232,Avi Korein
91941,Ernie Malik
1535108,Elena Moscatt
1546233,Elizabeth J. Nevin
1546234,Matilde Valera
1424186,Charley Armstrong
1131063,Peggy Nicholson
132566,Matt Codd
132628,Thomas Turnbull
1378753,Silvija L. Moess
1548587,Richard Curry
1733006,Kate Bartouldus
1733007,Penny Causer
1733011,Trevor Collins
1373728,Chuck Finch
135935,Scott Maginnis
58185,Patrick McGrath
1733008,Melissa Stanton
1733009,Jim Clubb
1567973,Ken Tarallo
1430558,Charles Miller
1733012,Marissa Giunta
1733013,Mike Lemon
1733014,Budge Tremlett
1733015,Tasha Pym
59983,Simon Cozens
1421647,Ian Wilson
1733019,Mark Berrow
1611487,Mike Miller
1215659,Andrew Bernstein
2352,Jean-Jacques Annaud
2358,Alain Godard
1841487,Antoine Compin
1841488,Charis Horton
2596,Robert Fraisse
40151,Louise Rubacky
2121,Mary Jo Slater
1120591,Ian D. Thomas
1770509,D.A. Menchions
28163,Lesley Beale
8428,Aggie Guerard Rodgers
12614,Stephan Dupuis
1441238,Thom MacIntyre
1665669,Clare Davis
1335043,Andy Nieman
1536975,Sandy Berman
1535322,David Neil Trifunovich
80370,Sean MacLeod Phillips
1391699,Doane Gregory
1194062,Allen Smith
970003,Roger Vernon
23816,Carla Hetland
1704110,Laurence Duval Annaud
1313,Andrew Lesnie
20629,George Miller
11651,Doug Mitchell
11650,Marcus D'Arcy
46299,Dick King-Smith
58065,Nigel Westlake
58066,Jay Friedkin
58137,Chris Noonan
58140,Bill Miller
4034,Penny Rose
10759,Michael Nyman
12952,Christopher Hampton
17793,Caroline Amies
68804,George Akers
23464,Denis Lenoir
37301,Frank Walsh
39812,John McGrath
570124,Graham Daniel
589952,Ray Merrin
1083635,Ronald Shedlo
1338011,Michael Holroyd
1393866,Felicity Cottrell
1398131,David Morani
1402096,Peter Robertson
1406986,Penny Eyles
1415951,Norma Webb
1570213,Stuart Hopps
1602683,Jupiter Sen
1725267,Andy Semple
1725268,Kirsten Hecktermann
1725269,Loredana Nicolao
1725270,Fred Harris
1725271,Jill Furmanovsky
1725272,Luis Lazo
1725273,Dennis McTaggart
1725274,James Marsh
1725275,Elaine Davis
151,Roger Deakins
504,Tim Robbins
1204,Julia Roberts
2236,Tim Bevan
2238,Eric Fellner
3264,Rudd Simmons
3284,Bruce Springsteen
6574,Clancy Brown
4446,Jon Kilik
4849,Anthony J. Ciccolini III
10576,Tom Warren
5332,Renee Ehrlich Kalfus
5669,Douglas Aibel
10298,Helen Prejean
10364,David Robbins
10365,Richard Hoover
11625,Lisa Zeno Churgin
13050,Tim Monich
15308,Sharon Boyle
17992,Tod A. Maitland
17993,T.J. O'Mara
17994,Dan Sable
17995,Lynn Sable
10917,Simon Abkarian
30601,Allan F. Nicholls
46590,Eddie Vedder
52991,Sam Hoffman
39624,Peter Gabriel
73772,Barry Levine
91061,Lawrence Amanuel
91069,Brick Mason
94313,Suzanne Weinert
126929,Jack Snyder
548849,David Stein
938427,Allison R. Hebble
957760,Ray Hubley
1039164,George A. Lara
1171522,Kim Marie Druce
1276530,Malcolm Ritchie
1287559,Mark Seldis
1320551,Ma Kalaadevi Ananda
1393372,Chuck Stringer
1393455,Eva Z. Cabrera
1399957,Martin Bernstein
1401997,Bill O'Leary
1412081,Michal Bigger
1412113,Demmie Todd
1434615,Bradford L. Hohle
1441122,R.A. White
1445469,Aaron F. Quarles
1464521,Richie Ford
1472378,Barbara Heller
1530326,Lance Shepherd
1532409,Patrick Mullins
1535440,Michael Kriston
1537431,Greg Addison
1551815,David Campbell
1573081,Andy Harris
1573082,Mitchell Andrew Lillian
1667091,Graham Stumpf
1667289,Tony Arnaud
1680639,Tom Salvatore
1711218,Michele Giordano
1771830,Robin Brown
1773951,Christie Alexander
1773953,Michael Curry Sr.
1773954,Patrick McGuire
1773955,Patrick K. Coppinger
1773956,David Spinozza
1773957,Brad 'Mo' Gremillion
1773958,Kayla Chaillot
1773959,Pete Aquino
1773960,Gary Chester
1773961,Barry Gastelu
1773962,Thomas Wright
1773963,Lucian Baran
1773964,Greg Cattano
1773965,Susie Blanchard
1773966,Scott August
1773967,Scott Dior
1773968,John Dowdell
1773969,Jerry Everett
1774044,Clare Larson
1774046,William Moore
1774047,Jonathan Graham
1774049,Mindy Sheldon
1774052,Nancy Kriegel
1774053,Yvette Nabel
1774060,Morgan Miller
1774061,Rashid Chinchanwala
2952,Avy Kaufman
2289,John Barry
56697,Charley Beal
77867,Stephen Low
91050,Cynthia Flynt
1173111,James Lahti
1395701,Joe Gonzalez
1439903,Andrew Gellis
1439907,Andrew Kitzanuk
1467083,Kate Yatsko
17167,Andy Tennant
147476,Deborah Dean Davis
57434,Amy Heckerling
9341,Bill Pope
57426,Debra Chiate
1460574,Robert Lawrence
38411,Steven J. Jordan
25143,David Kitay
42909,Mona May
51557,Marcia Ross
16730,Darrell James Roodt
3558,Ronald Harwood
123828,Alan Paton
3774,Joshua Sinclair
33315,Richard Loncraine
1327,Ian McKellen
531,Danny Elfman
5271,Lisa Rinzler
11447,Albert Hughes
11448,Allen Hughes
11455,Dan Lebental
69448,Michael Henry Brown
69449,Darryl Porter
52405,Michael Hoffman
227501,Rose Termain
114886,Rupert Walters
150352,Sarah Blackburn
141474,Mark Bentley
11386,James Acheson
4014,Paul W.S. Anderson
3961,Martin Hunter
9204,George S. Clinton
26714,John R. Leonetti
10809,Robert Engelman
43518,Lawrence Kasanoff
57256,Ed Boon
57257,John Tobias
57258,Kevin Droney
57259,Lauri Apelian
57260,Alison Savitch
34652,Danny Simon
1158477,Jules Stewart
5216,Gus Van Sant
7794,Joyce Maynard
7795,Buck Henry
7627,Laura Ziskin
2553,Jonathan T. Taplin
7797,Leslie Morgan
7798,Sandy Isaac
6389,Eric Alan Edwards
6390,Curtiss Clayton
7800,Deirdre Bowen
6628,Missy Stewart
7802,Carol Lavoie
6392,Beatrix Aruna Pasztor
1530,Howard Feuer
3047,Jocelyn Moorhouse
28714,Sarah Pillsbury
59670,Jane Anderson
3050,Jill Bilcock
153,Thomas Newman
492,Janusz Kamiński
1788045,Whitney Otto
90559,Midge Sanford
8703,Patricia Whitcher
2212,Walter F. Parkes
67390,Deborah Jelin Newmyer
8701,Laurie MacDonald
3191,Risa Bramon Garcia
5914,Mary Vernieu
5059,Leslie Dilley
4953,Ed Verreaux
8867,Marvin March
19310,Ruth Myers
117,Howard Shore
605,Michael Kaplan
4197,Clay A. Griffith
944,Arthur Max
2122,William Hoy
6581,Richard Francis-Bruce
4768,Lynn Harris
5290,Kim Coleman
6955,Vincent Landay
7467,David Fincher
7537,Steve Boeddeker
7475,Ceán Chaffin
7763,Ren Klyce
11420,Gianni Nunnari
11815,Dan Kolsrud
10764,Arnold Kopelson
12047,Andrew Kevin Walker
12048,Phyllis Carlyle
12050,Anne Kopelson
12051,Gary Wissner
14046,Danny Cangemi
12639,Hugo Santiago
12775,Joe Fineman
15315,Ellen Segal
14660,Peter Albiez
10820,Barry Chusid
16563,Charles A. Tamburro
27039,Aisha Coley
18782,Michele Platt
19747,John Nutt
37925,Conrad W. Hall
65753,Richard Saperstein
57076,Stephen Joel Brown
69895,Nana Greenwald
79783,Chris Gibbin
91056,Ric Keeley
91057,Ted Zachary
91133,Mark Graziano
112526,Allan Wertheim
101608,Rob Bottin
950637,William C. Gerrity
957581,Patrick Dodd
957990,Monty Westmore
1025337,William Davidson
1313815,Larry Velasco
1325234,Jean Ann Black
1325650,Elizabeth Lapp
1325655,Elinor Bardach
1377235,Russell McEntyre
1378207,Wayne Stone
1378229,Marvin E. Lewis
1398970,David Emmerichs
1399996,Robert J. Litt
1399997,Elliot Tyson
1400364,Lori Rowbotham
1401354,Wendy Cox
1404878,Becky Ochoa
1406124,Michael A. Chavez
1411293,Peter Sorel
1412204,Dale Myrand
1442535,Chuck Picerni Jr.
1458993,Michael Hancock
1522742,Jennifer McNamara
1537103,Jan O'Connell
1542917,Yvan Lucas
1544639,Angie Rubin
